"R0000100","R0536300","R0536401","R0536402","R1235800","R1482600","Z9073400"
268,1,12,1981,1,2,-4
269,2,6,1981,1,4,-4
270,2,1,1984,1,4,-4
271,2,8,1982,1,4,-4
272,2,9,1982,1,2,1
273,2,4,1983,1,2,1
274,2,8,1980,1,2,-4
275,1,12,1980,1,2,-4
276,2,1,1982,1,2,-4
277,1,2,1984,1,2,-4
278,1,9,1980,1,4,-4
279,1,4,1981,1,4,-4
280,1,5,1983,1,4,-4
281,1,12,1984,1,1,-4
282,1,6,1980,1,4,-4
283,1,5,1984,1,4,-4
284,2,3,1981,1,1,-4
285,1,2,1981,1,4,1
286,2,9,1984,1,4,-4
287,1,5,1980,1,4,-4
288,2,10,1983,1,4,-4
289,2,10,1984,1,4,-4
290,2,1,1984,1,4,-4
291,2,6,1980,1,4,-4
292,2,9,1984,1,1,-4
293,2,11,1983,1,2,3
294,1,5,1982,1,2,-4
295,2,9,1984,1,2,-4
296,2,12,1981,1,2,1
297,1,7,1984,1,2,-4
298,2,6,1983,1,4,-4
299,1,5,1981,1,4,-4
300,2,5,1984,1,4,-4
301,2,12,1981,1,4,-4
302,2,3,1984,1,4,-4
303,2,9,1980,1,4,-4
304,1,2,1983,1,4,-4
305,2,2,1983,1,4,-4
306,2,2,1980,1,4,-4
307,2,5,1980,1,4,-4
308,1,4,1981,1,4,-4
309,2,4,1981,1,4,-4
310,2,6,1982,1,4,1
311,1,3,1982,1,4,-4
312,2,7,1982,1,4,-4
313,2,4,1981,1,4,-4
314,1,10,1984,1,4,-4
315,2,1,1982,1,4,-4
316,1,4,1982,1,4,1
317,2,8,1980,1,2,1
318,1,2,1983,1,4,-4
319,2,3,1983,1,4,-4
320,2,7,1982,1,4,-4
321,1,10,1981,1,4,1
322,2,6,1982,1,4,-4
323,1,3,1980,1,4,-4
324,1,6,1980,1,4,-4
325,1,9,1984,1,4,-4
326,2,3,1980,1,4,-4
327,2,1,1983,1,4,-4
328,1,3,1984,1,4,-4
329,1,2,1984,1,4,-4
330,1,6,1982,1,4,-4
331,2,4,1980,1,4,1
332,1,1,1980,1,4,-4
333,2,8,1982,1,4,-4
334,2,1,1984,1,4,-4
335,2,6,1980,1,4,-4
336,1,2,1982,1,1,-4
337,1,7,1983,1,4,-4
338,2,4,1981,1,4,-4
339,2,9,1981,1,4,-4
340,1,12,1981,1,4,-4
341,1,12,1983,1,4,-4
342,1,3,1982,1,4,3
343,1,3,1984,1,4,-4
344,1,3,1984,1,4,-4
345,1,3,1984,1,4,1
346,1,5,1984,1,2,1
347,1,9,1981,1,2,-4
348,1,8,1983,1,2,-4
349,1,1,1984,1,2,-4
350,1,2,1984,1,4,-4
351,2,6,1981,1,2,1
352,2,6,1981,1,2,-4
353,2,9,1982,1,2,1
354,2,7,1982,1,2,-4
355,2,12,1980,1,2,1
356,2,10,1982,1,2,-4
357,1,9,1981,1,2,-4
358,1,2,1983,1,2,-4
359,2,1,1983,1,2,1
360,1,9,1984,1,2,-4
361,1,8,1980,1,2,-4
362,2,4,1981,1,2,1
363,2,11,1983,1,2,-4
364,2,7,1984,1,2,-4
365,2,2,1982,1,2,1
366,2,8,1980,1,2,-4
367,1,6,1981,1,2,-4
368,2,4,1981,1,2,-4
369,1,7,1984,1,2,-4
370,1,6,1981,1,2,1
371,2,12,1982,1,2,1
372,1,6,1983,1,2,-4
373,2,8,1984,1,2,1
374,2,9,1981,1,4,-4
375,1,7,1982,1,1,-4
376,1,3,1981,1,1,-4
377,2,12,1984,1,1,-4
378,1,2,1984,1,1,-4
379,2,11,1980,1,2,-4
380,1,2,1983,1,4,-4
381,1,1,1980,1,2,-4
382,2,1,1980,1,4,1
383,2,2,1984,1,4,-4
384,1,11,1983,1,2,-4
385,1,12,1981,1,2,-4
386,1,6,1980,1,2,-4
387,2,1,1983,1,2,-4
388,2,1,1982,1,2,-4
389,2,6,1981,1,4,-4
390,2,3,1983,1,4,-4
391,1,3,1980,1,4,-4
392,1,1,1980,1,2,-4
393,1,9,1983,1,2,-4
394,1,10,1984,1,2,-4
395,1,8,1984,1,4,-4
396,1,9,1983,1,4,1
397,1,4,1982,1,2,-4
398,1,8,1980,1,2,-4
399,1,9,1980,1,3,-4
400,2,7,1982,1,3,-4
401,1,6,1984,1,4,-4
402,2,7,1984,1,4,-4
403,2,2,1984,1,1,1
404,1,3,1980,1,4,-4
405,1,9,1981,1,4,-4
406,2,6,1983,1,4,-4
407,2,10,1981,1,2,-4
408,1,5,1980,1,1,-4
409,2,12,1980,1,1,-4
410,1,10,1980,1,2,-4
411,2,2,1980,1,2,-4
412,1,2,1982,1,2,-4
413,1,7,1980,1,1,-4
414,2,7,1980,1,1,-4
415,2,12,1981,1,4,-4
416,2,7,1980,1,4,-4
417,2,5,1983,1,4,-4
418,1,5,1983,1,4,-4
419,1,2,1984,1,4,-4
420,1,3,1980,1,4,-4
421,1,8,1982,1,4,-4
422,1,1,1981,1,3,-4
423,2,1,1984,1,3,1
424,2,6,1984,1,2,-4
425,2,8,1982,1,4,-4
426,2,12,1980,1,2,-4
427,1,11,1981,1,2,-4
428,2,11,1984,1,2,1
429,1,1,1981,1,4,-4
430,1,3,1983,1,4,-4
431,2,10,1984,1,2,-4
432,1,2,1981,1,2,-4
433,2,9,1984,1,2,-4
434,1,4,1982,1,4,-4
435,2,6,1981,1,2,-4
436,2,2,1982,1,2,-4
437,2,7,1981,1,2,-4
438,1,3,1983,1,2,1
439,2,5,1984,1,2,-4
440,1,8,1980,1,2,3
441,1,1,1982,1,2,1
442,2,3,1981,1,2,-4
443,1,6,1980,1,2,3
444,2,2,1982,1,2,-4
445,1,1,1981,1,2,-4
446,1,2,1983,1,2,1
447,2,9,1983,1,2,-4
448,2,9,1983,1,2,-4
449,2,9,1984,1,2,-4
450,2,11,1980,1,2,1
451,1,9,1983,1,2,1
452,2,3,1981,1,2,1
453,2,7,1982,1,2,-4
454,1,8,1982,1,2,-4
455,1,8,1984,1,2,-4
456,1,11,1983,1,2,-4
457,1,5,1980,1,2,1
458,1,6,1982,1,2,-4
459,2,6,1983,1,2,-4
460,2,12,1981,1,2,-4
461,2,3,1983,1,2,-4
462,2,2,1981,1,2,-4
463,1,7,1982,1,2,-4
464,2,11,1981,1,2,-4
465,2,10,1984,1,2,1
466,1,12,1983,1,2,-4
467,2,9,1984,1,2,-4
468,2,11,1981,1,2,-4
469,2,1,1982,1,2,-4
470,2,2,1981,1,2,-4
471,1,7,1980,1,2,-4
472,2,1,1983,1,2,-4
473,2,3,1982,1,2,-4
474,2,7,1984,1,2,-4
475,1,3,1981,1,2,-4
476,1,7,1982,1,1,1
477,2,5,1982,1,2,-4
478,2,1,1983,1,4,-4
479,2,8,1982,1,2,-4
480,2,7,1980,1,2,-4
481,1,5,1984,1,2,-4
482,1,7,1983,1,1,-4
483,1,2,1980,1,2,-4
484,2,8,1982,1,2,-4
485,1,7,1982,1,4,-4
486,2,6,1980,1,4,-4
487,1,3,1984,1,4,-4
488,2,1,1982,1,4,-4
489,2,11,1982,1,4,-4
490,1,11,1982,1,3,-4
491,1,9,1984,1,3,-4
492,2,10,1983,1,4,-4
493,1,9,1981,1,4,-4
494,2,3,1983,1,2,-4
495,1,12,1984,1,2,-4
496,1,7,1984,1,2,-4
497,2,4,1981,1,3,-4
498,2,5,1980,1,4,-4
499,2,8,1982,1,2,-4
500,1,3,1982,1,4,-4
501,1,9,1982,1,4,-4
502,1,9,1983,1,4,-4
503,1,12,1981,1,4,-4
504,2,7,1984,1,4,-4
505,1,8,1984,1,2,-4
506,1,9,1982,1,4,-4
507,2,8,1984,1,4,-4
508,1,8,1981,1,2,1
509,2,8,1984,1,1,-4
510,1,5,1980,1,2,-4
511,1,1,1980,1,2,-4
512,2,3,1981,1,2,1
513,1,5,1982,1,2,-4
514,2,2,1981,1,2,-4
515,2,3,1983,1,2,-4
516,1,3,1983,1,2,-4
517,1,9,1981,1,2,-4
518,2,11,1983,1,2,1
519,2,6,1980,1,2,-4
520,1,10,1981,1,2,-4
521,1,7,1983,1,2,-4
522,1,1,1983,1,2,-4
523,2,5,1980,1,4,-4
524,1,8,1981,1,2,3
525,1,4,1982,1,2,-4
526,1,11,1983,1,2,-4
527,1,12,1981,1,4,-4
528,2,9,1982,1,4,-4
529,2,4,1982,1,2,-4
530,2,9,1982,1,4,-4
531,2,4,1980,1,2,-4
532,2,1,1983,1,2,-4
533,2,1,1983,1,4,-4
534,2,11,1981,1,2,-4
535,2,5,1980,1,4,-4
536,1,12,1982,1,2,-4
537,1,2,1982,1,4,1
538,2,8,1983,1,4,-4
539,1,6,1980,1,2,-4
540,2,2,1982,1,2,1
541,2,2,1982,1,2,1
542,2,2,1984,1,1,-4
543,1,10,1983,1,2,-4
544,1,2,1981,1,4,-4
545,1,8,1981,1,1,-4
546,1,6,1980,1,4,-4
547,1,1,1984,1,4,-4
548,2,11,1984,1,4,-4
549,1,12,1981,1,4,3
550,1,2,1984,1,4,-4
551,1,12,1981,1,4,-4
552,1,11,1981,1,4,-4
553,1,9,1983,1,4,-4
554,1,8,1981,1,4,-4
555,1,3,1984,1,4,-4
556,2,7,1982,1,4,-4
557,2,11,1981,1,2,1
558,1,2,1982,1,4,1
559,2,3,1984,1,4,-4
560,2,4,1981,1,4,1
561,1,3,1984,1,4,-4
562,2,1,1983,1,2,-4
563,1,3,1982,1,4,1
564,1,8,1983,1,4,-4
565,1,4,1982,1,2,-4
566,2,7,1982,1,2,-4
567,1,3,1980,1,4,-4
568,1,10,1981,1,4,-4
569,1,4,1981,1,4,-4
570,2,7,1982,1,4,-4
571,1,10,1980,1,4,-4
572,1,10,1983,1,4,-4
573,2,9,1981,1,2,-4
574,2,1,1983,1,2,-4
575,1,12,1981,1,4,-4
576,1,11,1981,1,4,-4
577,1,4,1984,1,4,-4
578,1,12,1982,1,4,-4
579,2,6,1980,1,4,-4
580,1,5,1983,1,4,-4
581,1,4,1982,1,4,-4
582,2,11,1983,1,4,-4
583,2,11,1981,1,4,1
584,2,12,1981,1,4,-4
585,2,3,1983,1,4,-4
586,1,1,1980,1,2,1
587,2,1,1983,1,2,1
588,1,4,1983,1,4,-4
589,1,4,1983,1,4,1
590,1,9,1983,1,4,-4
591,2,12,1982,1,2,-4
592,2,10,1984,1,2,-4
593,2,5,1981,1,2,-4
594,2,2,1980,1,1,-4
595,2,9,1981,1,1,-4
596,2,2,1981,1,4,-4
597,2,12,1982,1,4,1
598,1,4,1981,1,2,-4
599,2,9,1981,1,2,1
600,1,9,1984,1,2,-4
601,2,5,1980,1,2,-4
602,2,1,1982,1,2,1
603,1,5,1984,1,2,1
604,2,3,1981,1,2,1
605,2,2,1983,1,2,-4
606,1,5,1980,1,4,-4
607,2,5,1982,1,4,-4
608,1,3,1983,1,4,-4
609,2,3,1982,1,4,-4
610,2,10,1981,1,4,-4
611,1,6,1984,1,4,1
612,1,2,1984,1,4,-4
613,1,11,1983,1,4,-4
614,2,4,1980,1,2,-4
615,2,1,1982,1,2,-4
616,1,4,1984,1,2,-4
617,2,11,1983,1,2,1
618,1,12,1981,1,2,1
619,1,5,1983,1,2,-4
620,1,1,1980,1,2,-4
621,1,6,1980,1,2,1
622,2,4,1981,1,2,-4
623,1,5,1982,1,2,-4
624,2,8,1980,1,2,1
625,1,10,1982,1,2,1
626,2,9,1982,1,2,-4
627,1,12,1982,1,4,-4
628,1,5,1982,1,4,-4
629,2,10,1984,1,4,1
630,1,4,1981,1,4,1
631,1,3,1981,1,4,-4
632,2,8,1983,1,4,-4
633,2,8,1983,1,4,-4
634,2,10,1980,1,4,-4
635,2,6,1981,1,4,-4
636,1,12,1982,1,4,-4
637,2,11,1981,1,2,-4
638,1,1,1984,1,4,-4
639,2,1,1981,1,4,-4
640,1,7,1982,1,4,-4
641,2,9,1980,1,4,-4
